O.P. NÚMERO,GRUPO DE ENTREGA,ITEM O.P. RESUMEN,TIPO DE MATERIAL,FECHA DE ENTREGA TELAS,MES,MARCA,ESTADO,CANT. PLANEADA,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE
MOP-00000237, ,15013949 - 19-4004 - 003  CAMISETA T SHIRT MAN NEGRO T-S,001 - TEJIDO PUNTO                            ,2026-06-05, ,001 - STOP                                    ,Comprometido,432,432,0,432
MOP-00000235,34-3SEP2,ST0000343 - IND03 - 016  MOM JEAN TIRO ALTO L INDIGO T-8,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,609,609,0,609
MOP-00000084,28-3JUL4,15059901 - 19-4004 - 014  PANTALON TIRO ALTO E NEGRO T-6,002 - TEJIDO PLANO                            ,2026-06-04,07-JULIO,001 - STOP                                    ,Comprometido,225,239,0,239
MOP-00000232,33-3SEP1,ST0000341 - IND03 - 014  VAQUERO TIRO ALTO LA INDIGO T-6,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,489,489,0,489
MOP-00000235,34-3SEP2,ST0000343 - IND03 - 020  MOM JEAN TIRO ALTO L INDIGO T-14,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,365,365,0,365
MOP-00000233,33-3SEP1,ST0000344 - IND01 - 014  CULOTTE TIRO ALTO LA INDIGO T-6,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,487,487,0,487
MOP-00000211,32-3AGO4,15001950 - 11-0601 - 006  CAMISETA PREMIUM MAN BLANCO T-XL,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
MOP-00000207,31-3AGO3,ST0000361 - 19-4004 - 002  CAMISA MANGA CORTA E NEGRO T-XS,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,154,154,0,154
MOP-00000238,32-3AGO4,15013949 - 19-4004 - 002  CAMISETA T SHIRT MAN NEGRO T-XS,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
MOP-00000236,35-3SEP3,ST0000345 - 19-1102 - 016  JOGGER TIRO ALTO NEG NEGRO T-8,002 - TEJIDO PLANO                            ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,825,825,0,825
MOP-00000226,32-3AGO4,15015814 - IND01 - 021  SHORT T/ALTO ESENCIA INDIGO T-16,005 - DENIM                                   ,2026-06-01,08-AGOSTO,001 - STOP                                    ,Comprometido,98,98,0,98
MOP-00000232,33-3SEP1,ST0000341 - IND03 - 019  VAQUERO TIRO ALTO LA INDIGO T-12,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,489,489,0,489
MOP-00000211,32-3AGO4,15001950 - 11-0601 - 005  CAMISETA PREMIUM MAN BLANCO T-L,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,300,300,0,300
MOP-00000207,31-3AGO3,ST0000361 - 19-4004 - 005  CAMISA MANGA CORTA E NEGRO T-L,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,462,462,0,462
MOP-00000226,32-3AGO4,15015814 - IND01 - 018  SHORT T/ALTO ESENCIA INDIGO T-10,005 - DENIM                                   ,2026-06-01,08-AGOSTO,001 - STOP                                    ,Comprometido,300,300,0,300
MOP-00000194,31-3AGO3,ST0000368 - 19-1121 - 004  CAMISETA MANGA CORTA CAFE T-M,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,735,735,0,735
MOP-00000238,32-3AGO4,15013949 - 19-4004 - 004  CAMISETA T SHIRT MAN NEGRO T-M,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,200,200,0,200
MOP-00000236,35-3SEP3,ST0000345 - 19-1102 - 020  JOGGER TIRO ALTO NEG NEGRO T-14,002 - TEJIDO PLANO                            ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,330,330,0,330
MOP-00000233,33-3SEP1,ST0000344 - IND01 - 019  CULOTTE TIRO ALTO LA INDIGO T-12,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,487,487,0,487
MOP-00000196,30-3AGO2,ST0000373 - 14-0708 - 002  FTOP MANGA CORTA CON BEIGE T-XS,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Aprobado,114,114,0,114
MOP-00000205,31-3AGO3,ST0000326 - IND01 - 016  VAQUERO TIRO ALTO LA INDIGO T-8,005 - DENIM                                   ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,717,717,0,717
MOP-00000211,32-3AGO4,15001950 - 19-4004 - 004  CAMISETA PREMIUM MAN NEGRO T-M,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,50,50,0,50
MOP-00000237, ,15013949 - 19-4004 - 005  CAMISETA T SHIRT MAN NEGRO T-L,001 - TEJIDO PUNTO                            ,2026-06-05, ,001 - STOP                                    ,Comprometido,411,411,0,411
MOP-00000196,30-3AGO2,ST0000373 - 14-0708 - 005  FTOP MANGA CORTA CON BEIGE T-L,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Aprobado,342,342,0,342
MOP-00000205,31-3AGO3,ST0000326 - IND01 - 020  VAQUERO TIRO ALTO LA INDIGO T-14,005 - DENIM                                   ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,430,430,0,430
MOP-00000058,21-2JUN1,ST0001307 - 11-0602 - 004  CAMISETA MC CON ESTA CREMA T-M,002 - TEJIDO PLANO                            ,2026-05-26,06-JUNIO,001 - STOP                                    ,Comprometido,372,307,0,307
MOP-00000237, ,15013949 - 19-4004 - 006  CAMISETA T SHIRT MAN NEGRO T-XL,001 - TEJIDO PUNTO                            ,2026-05-26, ,001 - STOP                                    ,Comprometido,202,202,0,202
MOP-00000196,30-3AGO2,ST0000373 - 19-1761 - 003  FTOP MANGA CORTA CON ROJO T-S,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,512,512,0,512
MOP-00000235,34-3SEP2,ST0000343 - IND03 - 018  MOM JEAN TIRO ALTO L INDIGO T-10,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,609,609,0,609
MOP-00000084,28-3JUL4,15059901 - 19-4004 - 016  PANTALON TIRO ALTO E NEGRO T-8,002 - TEJIDO PLANO                            ,2026-06-04,07-JULIO,001 - STOP                                    ,Aprobado,233,242,0,242
MOP-00000238,32-3AGO4,15013949 - 19-4004 - 003  CAMISETA T SHIRT MAN NEGRO T-S,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,200,200,0,200
MOP-00000194,31-3AGO3,ST0000368 - 19-1121 - 005  CAMISETA MANGA CORTA CAFE T-L,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,588,588,0,588
MOP-00000232,33-3SEP1,ST0000341 - IND03 - 016  VAQUERO TIRO ALTO LA INDIGO T-8,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,611,611,0,611
MOP-00000213,32-3AGO4,15004852 - 11-0602 - 004  TOP MANGA SISA EN RI CREMA T-M,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
MOP-00000196,30-3AGO2,ST0000373 - 19-1761 - 006  FTOP MANGA CORTA CON ROJO T-XL,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,342,342,0,342
MOP-00000084,28-3JUL4,15059901 - 19-4004 - 020  PANTALON TIRO ALTO E NEGRO T-14,002 - TEJIDO PLANO                            ,2026-06-05,07-JULIO,001 - STOP                                    ,Comprometido,107,108,0,108
MOP-00000194,31-3AGO3,ST0000368 - 19-1121 - 002  CAMISETA MANGA CORTA CAFE T-XS,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,147,147,0,147
MOP-00000235,34-3SEP2,ST0000343 - IND03 - 013  MOM JEAN TIRO ALTO L INDIGO T-5,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,243,243,0,243
