O.P. NÚMERO,GRUPO DE ENTREGA,ITEM O.P. RESUMEN,TIPO DE MATERIAL,FECHA DE ENTREGA TELAS,MES,MARCA,ESTADO,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE
MOP-00000103,,35050249 - 19-4004 - 019  CAMISETA MC TP ESEN NEGRO T-12,001 - TEJIDO PUNTO                            ,2026-06-04,001 - ENERO                                   ,003 - YOYO                                    ,Aprobado,50,0,50
MOP-00000103,,35050249 - 11-0602 - 021  CAMISETA MC TP ESEN CREMA T-16,001 - TEJIDO PUNTO                            ,2026-06-04,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,200,0,200
MOP-00000145,006 - 1FEB2                                   ,35052249 - 19-4004 - 021  CAMISETA T-SHIRT OVE NEGRO T-16,001 - TEJIDO PUNTO                            ,2026-06-01,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,100,0,100
MOP-00000150,006 - 1FEB2                                   ,35010291 - 19-4004 - 019  RETROMOM TIRO BAJO B NEGRO T-12,005 - DENIM                                   ,2026-06-01,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000143,009 - 1MAR1                                   ,35011291 - IND02 - 022  RETROMOM TIRO ALTO E INDIGO T-18,005 - DENIM                                   ,2026-06-06,003 - MARZO                                   ,003 - YOYO                                    ,Comprometido,250,0,250
MOP-00000139,002 - 1ENE2                                   ,35001295 - 11-0601 - 021  BODY PREMIUM SISA ES BLANCO T-16,001 - TEJIDO PUNTO                            ,2026-06-02,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,100,0,100
MOP-00000152,034 - 3SEP2                                   ,YY0000272 - IND07 - 019  TEJANO TIRO MEDIO TP INDIGO T-12,005 - DENIM                                   ,2026-06-02,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,444,0,444
MOP-00000146,042 - 4NOV2                                   ,35054249 - 11-0602 - 020  CAMISETA  POLO MANGA CREMA T-14,001 - TEJIDO PUNTO                            ,2026-06-02,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000159,035 - 3SEP3                                   ,YY0000278 - IND01 - 019  CARGO TIRO ALTO INDIGO T-12,005 - DENIM                                   ,2026-06-05,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,500,0,500
MOP-00000152,034 - 3SEP2                                   ,YY0000272 - IND07 - 022  TEJANO TIRO MEDIO TP INDIGO T-18,005 - DENIM                                   ,2026-06-02,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,356,0,356
MOP-00000143,009 - 1MAR1                                   ,35011291 - IND02 - 019  RETROMOM TIRO ALTO E INDIGO T-12,005 - DENIM                                   ,2026-06-06,003 - MARZO                                   ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000114,031 - 3AGO3                                   ,YY0000308 - 19-4024 - 019  T-SHIRT MANGA CORTA AZUL T-12,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,283,0,283
MOP-00000114,031 - 3AGO3                                   ,YY0000308 - 19-4024 - 022  T-SHIRT MANGA CORTA AZUL T-18,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,283,0,283
