MARCA,O.P. NÚMERO,REFERENCIA,GRUPO DE ENTREGA,MES,ITEM O.P. RESUMEN,DESC. BODEGA,ESTADO,U.M.,CANT. PLANEADA,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE,FECHA TERMINACION,AÑO,COLECCIÓN,FECHA CREACION,FECHA APROBACION,EXT. 1,COLOR_NOMBRE,EXT. 2,DETALLE EXT. 2,DESC. DETALLE EXT. 2,CUMPLIMIENTO %,ESTATUS OP
YOYO,MOP-00000005,YY0001042                                         ,23-2JUN3,06-JUNIO,YY0001042 - IND02 - 021  SHORT TIRO ALTO TP L INDIGO T-16,YOYO CEDI,Aprobado,UND ,458,445,440,5,2026-06-03,01-2026,016-LOVE & LATTE,2026-04-07,2026-04-27,1,IND02               ,1,21,T-16     ,0.9887640449438202,INCOMPLETO
YOYO,MOP-00000005,YY0001042                                         ,23-2JUN3,06-JUNIO,YY0001042 - IND02 - 022  SHORT TIRO ALTO TP L INDIGO T-18,YOYO CEDI,Aprobado,UND ,367,356,353,3,2026-06-03,01-2026,016-LOVE & LATTE,2026-04-07,2026-04-27,1,IND02               ,1,22,T-18     ,0.9915730337078652,INCOMPLETO
YOYO,MOP-00000005,YY0001042                                         ,23-2JUN3,06-JUNIO,YY0001042 - IND02 - 023  SHORT TIRO ALTO TP L INDIGO T-20,YOYO CEDI,Cumplido,UND ,275,267,267,0,2026-06-03,01-2026,016-LOVE & LATTE,2026-04-07,2026-04-27,1,IND02               ,1,23,T-20     ,1.0,CERRADO
YOYO,MOP-00000005,YY0001042                                         ,23-2JUN3,06-JUNIO,YY0001042 - IND02 - 024  SHORT TIRO ALTO TP L INDIGO T-22,YOYO CEDI,Aprobado,UND ,183,178,177,1,2026-06-03,01-2026,016-LOVE & LATTE,2026-04-07,2026-04-27,1,IND02               ,1,24,T-22     ,0.9943820224719101,INCOMPLETO
YOYO,MOP-00000007,YY0001041                                         ,23-2JUN3,06-JUNIO,YY0001041 - 11-0602 - 044  PASHMINA ESTAMPADA T CREMA T-U,YOYO CEDI,Aprobado,UND ,870,870,826,44,2026-04-15,01-2026,016-LOVE & LATTE,2026-04-07,2026-04-07,1,11-0602             ,1,44,T-U      ,0.9494252873563218,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 11-0602 - 020  CAMISETA  POLO MANGA CREMA T-14,YOYO CEDI,Aprobado,UND ,290,290,260,30,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,11-0602             ,1,20,T-14     ,0.896551724137931,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 11-0602 - 021  CAMISETA  POLO MANGA CREMA T-16,YOYO CEDI,Aprobado,UND ,290,290,260,30,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,11-0602             ,1,21,T-16     ,0.896551724137931,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 11-0602 - 022  CAMISETA  POLO MANGA CREMA T-18,YOYO CEDI,Aprobado,UND ,296,296,238,58,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,11-0602             ,1,22,T-18     ,0.8040540540540541,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 11-0602 - 023  CAMISETA  POLO MANGA CREMA T-20,YOYO CEDI,Aprobado,UND ,295,295,238,57,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,11-0602             ,1,23,T-20     ,0.8067796610169492,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 11-0602 - 024  CAMISETA  POLO MANGA CREMA T-22,YOYO CEDI,Aprobado,UND ,146,146,116,30,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,11-0602             ,1,24,T-22     ,0.7945205479452054,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 19-4004 - 020  CAMISETA  POLO MANGA NEGRO T-14,YOYO CEDI,Aprobado,UND ,150,150,141,9,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,19-4004             ,1,20,T-14     ,0.94,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 19-4004 - 021  CAMISETA  POLO MANGA NEGRO T-16,YOYO CEDI,Aprobado,UND ,149,149,139,10,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,19-4004             ,1,21,T-16     ,0.9328859060402684,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 19-4004 - 022  CAMISETA  POLO MANGA NEGRO T-18,YOYO CEDI,Aprobado,UND ,150,150,141,9,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,19-4004             ,1,22,T-18     ,0.94,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 19-4004 - 023  CAMISETA  POLO MANGA NEGRO T-20,YOYO CEDI,Aprobado,UND ,150,150,141,9,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,19-4004             ,1,23,T-20     ,0.94,INCOMPLETO
YOYO,MOP-00000012,35054249                                          ,22-2JUN2,06-JUNIO,35054249 - 19-4004 - 024  CAMISETA  POLO MANGA NEGRO T-22,YOYO CEDI,Aprobado,UND ,50,50,47,3,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,19-4004             ,1,24,T-22     ,0.94,INCOMPLETO
YOYO,MOP-00000014,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND02 - 018  RETROMOM TIRO ALTO E INDIGO T-10,YOYO CEDI,Cumplido,UND ,150,150,150,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,18,T-10     ,1.0,CERRADO
YOYO,MOP-00000014,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND02 - 019  RETROMOM TIRO ALTO E INDIGO T-12,YOYO CEDI,Cumplido,UND ,149,149,150,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,19,T-12     ,1.0067114093959733,CERRADO
YOYO,MOP-00000014,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND02 - 020  RETROMOM TIRO ALTO E INDIGO T-14,YOYO CEDI,Cumplido,UND ,300,300,304,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,20,T-14     ,1.0133333333333334,CERRADO
YOYO,MOP-00000014,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND02 - 021  RETROMOM TIRO ALTO E INDIGO T-16,YOYO CEDI,Aprobado,UND ,300,300,298,2,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,21,T-16     ,0.9933333333333333,INCOMPLETO
YOYO,MOP-00000014,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND02 - 022  RETROMOM TIRO ALTO E INDIGO T-18,YOYO CEDI,Cumplido,UND ,150,150,150,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,22,T-18     ,1.0,CERRADO
YOYO,MOP-00000014,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND02 - 023  RETROMOM TIRO ALTO E INDIGO T-20,YOYO CEDI,Cumplido,UND ,150,150,150,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,23,T-20     ,1.0,CERRADO
YOYO,MOP-00000014,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND02 - 024  RETROMOM TIRO ALTO E INDIGO T-22,YOYO CEDI,Cumplido,UND ,150,150,150,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,24,T-22     ,1.0,CERRADO
YOYO,MOP-00000015,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND03 - 018  RETROMOM TIRO ALTO E INDIGO T-10,YOYO CEDI,Aprobado,UND ,151,151,131,20,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND03               ,1,18,T-10     ,0.8675496688741722,INCOMPLETO
YOYO,MOP-00000015,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND03 - 019  RETROMOM TIRO ALTO E INDIGO T-12,YOYO CEDI,Cumplido,UND ,299,299,317,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND03               ,1,19,T-12     ,1.060200668896321,CERRADO
YOYO,MOP-00000015,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND03 - 020  RETROMOM TIRO ALTO E INDIGO T-14,YOYO CEDI,Cumplido,UND ,296,296,315,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND03               ,1,20,T-14     ,1.0641891891891893,CERRADO
YOYO,MOP-00000015,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND03 - 021  RETROMOM TIRO ALTO E INDIGO T-16,YOYO CEDI,Cumplido,UND ,295,295,318,0,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND03               ,1,21,T-16     ,1.0779661016949154,CERRADO
