MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO
009 - SEPTIEMBRE                              ,08-AGOSTO,033 - 3SEP1                                   ,001 - STOP                                    ,003 - OPORTUNIDADES                           ,001 - TEJIDO PUNTO                            ,MS0000891,CAMISETA MANGA CORTA ESTAMPADO FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              ,08-AGOSTO,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000892,CAMISETA MANGA CORTA ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              ,08-AGOSTO,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000893,TOP MANGA CORTA  CON CORTES,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000894,CAMISETA POLO  MANGA CORTA TEJIDA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000895,CAMISETA MANGA CORTA RUEDO EN ENCAJE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000896,BODY MANGA SISA DRAPEADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0000897,TOP STRAPPLE CON HERRAJE CORAZÓN,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              ,08-AGOSTO,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000898,TOP MANGA LARGA EN MESH ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000305,VESTIDO MANGA SISA CORTO  ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,004 - ESENCIAL MODA                           ,002 - TEJIDO PLANO                            ,ST0000306,CAMISA MANGA 3/4,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
