MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO,PRIORIDAD
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30020124,JOGGER TIRO ALTO TEEN LAV COLOR,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30020234,CARGO TIRO ALTO TEEN PLUS LAV MEDIO,,Normal
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30020249,TEJANO TIRO ALTO TP LAV CLARO,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30021124,JOGGER TIRO ALTO TEEN LAV COLOR,,Normal
MAYO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30021136,COOL T/MEDIO TEEN LAV MEDIO BORDADO COS,,Normal
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30021249,TEJANO TIRO ALTO TP LAV CLARO,,Normal
SEPTIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30022124,JOGGER TIRO ALTO TEEN COLOR,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30022249,TEJANO PREMIUM TIRO ALTO TEEN PLUS NEGR,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30023124,JOGGER TIRO ALTO TEEN LAV MEDIO OSCURO,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30023234,CARGO T/ALTO TP COLOR BOTA RECTA,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30023249,TEJANO TIRO ALTO TP LAV MEDIO CON APLIQ,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30024124,JOGGER TIRO ALTO TEEN LAV COLOR,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30024249,TEJANO TIRO ALTO TP LAV MEDIO,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30025124,JOGGER PREMIUM TIRO ALTO TEEN,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30025249,TEJANO PREMIUM TIRO ALTO TP LAV NEGRO,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30026223,FALDA TIRO ALTO TP LAVADO MEDIO CON ABE,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30026224,JOGGER TIRO ALTO TP,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30026249,TEJANO TIRO ALTO TP LAV CLARO,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30027124,JOGGER TIRO ALTO TEEN LAV COLOR,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30027223,FALDA CORTA T ALTO T PLUS COLOR,,Normal
MARZO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30027249,TEJANO TIRO ALTO TP LAV MEDIO OSCURO,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30028745,JARDINERA TEEN PLUS CORTA LAVADO NEGRO,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30029145,JARDINERA TEEN COLOR,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30029223,FALDA T/ALTO TEEN PLUS LAV MEDIO CON BO,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30029224,JOGGER TIRO ALTO TP LAV  NEGRO,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30030145,JARDINERA TEEN LAV COLOR,,Normal
FEBRERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30030734,PANTALON CARGO TIRO ALTO TEEN PLUS LAVA,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30031223,FALDA TIRO ALTO TEEN PLUS COLOR,,Normal
MARZO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,999 - NO APLICA                               ,30031734,CARGO TIRO ALTO TP CON TANCAS Y CORDON,,Normal
MARZO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30032734,PANTALÓN CARGO TIRO ALTO TEEN PLUS LAV,,Normal
JULIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30033223,FALDA CORTA T/ALTO TP COLOR BOLSILLOS E,,Normal
JULIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30034223,FALDA CORTA TIRO ALTO TEEN PLUS PRETEÑI,,Normal
JULIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30035123,FALDA TIRO ALTO TEEN LAV MEDIO RAYAS,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30035147,ENGAÑADORA TIRO MEDIO TEEN  LAV MEDIO-O,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30035734,PANTALON CARGO T/ALTO TP COLOR BOTA REC,,Normal
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30036139,PERFECT T/MEDIO TEEN  LAV OSCURO CON BO,,Normal
AGOSTO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30036223,FALDA TEEN PLUS LAVADO GRIS CON BOLSILL,,Normal
SEPTIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30037723,FALDA T/ALTO TP LAV MEDIO-OSCURO CON PR,,Normal
MAYO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30037734,PANTALON CARGO T/ALTO TEEN PLUS LAVADO,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30038147,ENGAÑADORA TIRO MEDIO TEEN COLOR,,Normal
AGOSTO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30038223,FALDA TIRO ALTO TEEN PLUS LAV MEDIO,,Normal
SEPTIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30039223,FALDA TIRO ALTO TEEN PLUS LAV COLOR,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30039247,ENGAÑADORA TIRO ALTO T PLUS CON PRENSES,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30040734,PANTALON CARGO TIRO ALTO TEEN PLUS LAVA,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30041123,FALDA TIRO ALTO TEEN LAV  MEDIO,,Normal
MARZO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30041134,PANTALON CARGO TIRO ALTO TEEN LAV OSCUR,,Normal
ENERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30041247,ENGAÑADORA TIRO ALTO TEEN PLUS COLOR,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30042139,PERFECT T/MEDIO TEEN LAV MEDIO-OSCURO C,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30042223,FALDA TIRO ALTO TEEN PLUS LAV MEDIO,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30042734,PANTALON CARGO TIRO ALTO TEEN PLUS GRIS,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30043123,FALDA TIRO ALTO TEEN DE TABLAS,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,002 - TEJIDO PLANO                            ,30043244,OVERALL LARGO TEEN PLUS EFECTO CUERO,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30043734,PANTALÓN CARGO TIRO ALTO TP COLOR,,Normal
MAYO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30044134,PANTALON CARGO TIRO ALTO TEEN COLOR,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30044223,FALDA T/ALTO TEEN PLUS LAV CLARO CON SH,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,002 - TEJIDO PLANO                            ,30044244,OVERALL LARGO TEEN PLUS COLOR CON BOLSI,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30045123,FALDA TIRO ALTO TEEN LAV MEDIO OSCURO C,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30046123,FALDA TIRO ALTO TEEN LAV COLOR CON SHOR,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30046144,OVERALL LARGO TEEN LAV CLARO BOTA AMPLI,,Normal
JULIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30046734,PANTALON CARGO T/ALTO TP BOLSILLO GRAND,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30047223,FALDA TIRO ALTO TP LAV COLOR,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30047244,OVERALL LARGO TP COLOR,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30048144,OVERALL LARGO TEEN LAV MEDIO  LARGO,,Normal
MARZO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30048223,FALDA TIRO ALTO TP EN CORDURY CORTO,,Normal
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30048247,FALDA SHORT TIRO ALTO TEEN PLUS LAV MED,,Normal
JULIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30048734,CARGO TIRO ALTO TEEN PLUS LAVADO MEDIO,,Normal
MAYO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30049123,FALDA T/ALTO TEEN LAV CLARO CON PRENSES,,Normal
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30049147,FALDA SHORT TIRO ALTO TEEN LAV MEDIO OS,,Normal
JULIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30049234,CARGO TIRO ALTO TEEN PLUS BOTA AMPLIA,,Normal
MAYO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30049244,OVERALL LARGO TP LAV COLOR,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30050123,FALDA TIRO ALTO TEEN COLOR EN CORDUROY,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30050134,CARGO TIRO ALTO TEEN LAV MEDIO,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30050244,OVERALL TP LARGO LAV MEDIO,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30051223,FALDA TP LAV MEDIO CORTA,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30051244,OVERALL LARGO TP LAV MEDIO,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30051734,PANTALON CARGO TIRO ALTO TEEN PLUS LAVA,,Normal
MAYO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30052123,FALDA TIRO ALTO TEEN LAV CLARO,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30052147,FALDA SHORT TIRO ALTO TEEN LAV COLOR,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,002 - TEJIDO PLANO                            ,30052244,OVERALL LARGO TP LAV CLARO,,Normal
MAYO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30053223,FALDA TIRO ALTO TP DE TABLAS CORTA,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30053247,FALDA SHORT TIRO ALTO TP LAV COLOR,,Normal
AGOSTO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30053734,CARGO TIRO ALTO TP COLOR COSTURA CONTRA,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30054223,FALDA TIRO ALTO TP COLOR CORTA,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30054247,FALDA SHORT TIRO ALTO TP  CON ABERTURAS,,Normal
AGOSTO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30054734,PANTALON CARGO TIRO ALTO TP CONVERTIBLE,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30055123,FALDA TIRO ALTO TEEN LAV COLOR CON SHOR,,Normal
ENERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30055139,PERFECT T/MEDIO TEEN LAV OSCURO CON BOR,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30055246,OVERALL CORTO TP EN CORDUROY,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30055247,FALDA SHORT TIRO ALTO TP LAV  MEDIO OSC,,Normal
JULIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30055734,PANTALON CARGO T/ALTO TEEN PLUS DE COLO,,Normal
AGOSTO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30056134,PANTALON CARGO TIRO ALTO TEEN LAV MEDIO,,Normal
FEBRERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30056136,COOL T/ALTO TEEN LAV MEDIO-OSCURO CON E,,Normal
ENERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30056147,FALDA SHORT TIRO ALTO TEEN LAV CLARO,,Normal
JULIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30056223,FALDA TIRO ALTO TP CON SHORT INTERNO,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30056246,OVERALL CORTO TP LAV MEDIO,,Normal
FEBRERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30057147,FALDA SHORT TIRO ALTO TEEN LAV MEDIO OS,,Normal
SEPTIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30057223,FALDA TIRO ALTO TEEN PLUS LAV MEDIO,,Normal
AGOSTO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30057234,PANTALON CARGO TIRO ALTO TEEN PLUS LAV,,Normal
ABRIL, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,002 - TEJIDO PLANO                            ,30057246,OVERALL CORTO TP LAV MEDIO,,Normal
FEBRERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30058139,PERFECT T/MEDIO TEEN LAV OSCURO CON LLA,,Normal
SEPTIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,002 - TEJIDO PLANO                            ,30058223,FALDA CORTA T/MEDIO  TP NEGRO CON TABLA,,Normal
AGOSTO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30058234,PANTALON CARGO TIRO ALTO TEEN PLUS  DE,,Normal
FEBRERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30058247,FALDA SHORT TIRO ALTO TP LAV MEDIO  BOL,,Normal
MARZO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30059147,FALDA SHORT TIRO ALTO TEEN LAV MEDIO OS,,Normal
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30059223,FALDA TIRO ALTO TP MARFIL,,Normal
FEBRERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30059236,COOL T/ALTO TP LAV MEDIO BOTA DOBLADA,,Normal
NOVIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30060223,FALDA TIRO ALTO TP LAV MEDIO,,Normal
SEPTIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30060234,CARGO TIRO ALTO  LAV COLOR BOTA RECTA,,Normal
JUNIO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30060247,FALDA SHORT TIRO ALTO TP LAV COLOR,,Normal
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30061223,FALDA TIRO ALTO TP LAV   CON SHORT INTE,,Normal
ENERO, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30061247,FALDA SHORT TIRO ALTO TP NEGRO,,Normal
OCTUBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30061734,PANTALON CARGO TI/ALTO TEEN PLUS LAV ME,,Normal
SEPTIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30062134,PANTALON CARGO TIRO ALTO TEEN LAV MEDIO,,Normal
DICIEMBRE, ,009 - 1MAR1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30062223,FALDA TIRO ALTO TP LAV CLARO,,Normal
OCTUBRE,09-SEPTIEMBRE,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,001 - TEJIDO PUNTO                            ,MY0004414,VESTIDO MANGA LARGA DOBLE PRENDA,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
MAYO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30062247,FALDA SHORT TIRO ALTO TP LAV MEDIO,,Normal
MAYO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30063147,FALDA SHORT TIRO ALTO TEEN LAV MEDIO OS,,Normal
NOVIEMBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30063222,MOM JEAN TIRO ALTO TP LAVADO MEDIO SILU,,Normal
DICIEMBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30063223,FALDA TIRO ALTO TP COLOR NEGRO,,Normal
MAYO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30064247,FALDA SHORT TIRO ALTO TP LAV MEDIO OSCU,,Normal
MAYO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30064737,CRAZY PREMIUM T/ALTO TEEN PLUS,,Normal
JUNIO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30065147,FALDA SHORT TIRO ALTO TEEN COLOR,,Normal
OCTUBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30065222,MOM JEAN T/ALTO  TP LAV CLARO CON ROTOS,,Normal
NOVIEMBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30065223,FALDA TIRO ALTO TP LAV  CLARO,,Normal
OCTUBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30065234,PANTALON CARGO TIRO ALTO TEEN PLUS LAV,,Normal
OCTUBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30065256,RETROMOM T/ALTO TP LAVADO MEDIO CON ROT,,Normal
JUNIO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30065737,CRAZY PREMIUM T/ALTO TP LAV OSCURO,,Normal
ENERO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30066122,MOM JEAN TIRO ALTO TEEN LAV CLARO,,Normal
SEPTIEMBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30066136,COOL T/ALTO TEEN LAV MEDIO CON CHULO EN,,Normal
JUNIO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30066147,FALDA SHORT TIRO ALTO TEEN LAV MEDIO,,Normal
DICIEMBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30066223,FALDA TIRO ALTO TP LAV MEDIO CON SHORT,,Normal
NOVIEMBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30066234,PANTALON CARGO TIRO ALTO TP LAV MEDIO O,,Normal
OCTUBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30066237,CRAZY PREMIUM TIRO ALTO TEEN PLUS LAV M,,Normal
NOVIEMBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30067134,PANTALON CARGO TIRO ALTO TEEN LAV CLARO,,Normal
OCTUBRE, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30067137,CRAZY PREMIUM TIRO ALTO TEEN LAV CLARO,,Normal
AGOSTO, ,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30067247,FALDA SHORT TIRO ALTO TP COLOR,,Normal
